word,POS,wordCount-Chat,percent_of_total-Chat,POS-Chat,wordCount_y,percent_of_total_y,POS-Human,wordCount-Human,percent_of_total-Human
stoplike,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
stop,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
smooth,ADJ,1,0.1031991744066047,ADJ,1.0,0.2840909090909091,,,
smth,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
sticky,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
software,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
solution,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
stay,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
stand,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
stable,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
stabilizer,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
specialized,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
stabilization,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
set,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
session,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
surrounding,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
ride,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
rectangular,ADJ,1,0.1031991744066047,ADJ,1.0,0.2840909090909091,,,
red,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
reduction,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
spot,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
trainsubway,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
tracking,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
relaxed,ADJ,1,0.1031991744066047,ADJ,1.0,0.2840909090909091,,,
relaxing,ADJ,1,0.1031991744066047,ADJ,1.0,0.2840909090909091,,,
relief,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
toy,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
replicate,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
response,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
topic,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
top,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
togetherness,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
sensory,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
tissue,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
threshold,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
round,ADJ,1,0.1031991744066047,ADJ,1.0,0.2840909090909091,,,
therapist,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
router,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
routine,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
techfunctionality,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
tangent,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
tamogatchilike,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
tablet,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
system,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
sensation,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
sensitiveconfidential,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
symptom,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
personality,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
ability,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
peripheral,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
commute,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
cool,ADJ,1,0.1031991744066047,ADJ,1.0,0.2840909090909091,,,
conversation,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
convenient,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
contact,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
connection,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
conductance,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
computing,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
competition,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
commuting,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
commuter,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
communication,NOUN,1,0.1031991744066047,,,,NOUN,1.0,0.1620745542949757
perfect,ADJ,1,0.1031991744066047,ADJ,1.0,0.2840909090909091,,,
common,ADJ,1,0.1031991744066047,,,,ADJ,1.0,0.1620745542949757
comfort,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
combination,NOUN,1,0.1031991744066047,NOUN,1.0,0.2840909090909091,,,
