vector,word,Maxpos,wordCount,percent_of_total
82,vital,NOUN,1,6.666666666666667
82,wearable,ADJ,1,6.666666666666667
83,day,NOUN,1,12.5
83,interface,NOUN,1,12.5
83,locket,NOUN,1,12.5
83,photo,NOUN,2,25.0
83,user,NOUN,2,25.0
83,wearable,ADJ,1,12.5
84,app,NOUN,1,11.11111111111111
84,convenient,ADJ,1,11.11111111111111
84,easy,ADJ,1,11.11111111111111
84,habit,NOUN,1,11.11111111111111
84,interface,NOUN,1,11.11111111111111
84,mood,NOUN,1,11.11111111111111
84,reminder,NOUN,1,11.11111111111111
84,tracking,NOUN,1,11.11111111111111
84,wearable,ADJ,1,11.11111111111111
85,form,NOUN,1,12.5
85,input,NOUN,1,12.5
85,multiple,ADJ,1,12.5
85,response,NOUN,1,12.5
85,sensor,NOUN,1,12.5
85,toy,NOUN,1,12.5
85,visible,ADJ,1,12.5
85,weight,NOUN,1,12.5
86,app,NOUN,1,8.333333333333332
86,art,NOUN,1,8.333333333333332
86,board,NOUN,1,8.333333333333332
86,contact,NOUN,1,8.333333333333332
86,entry,NOUN,1,8.333333333333332
86,interactive,ADJ,1,8.333333333333332
86,journal,NOUN,1,8.333333333333332
86,mood,NOUN,1,8.333333333333332
86,parent,NOUN,1,8.333333333333332
86,people,NOUN,1,8.333333333333332
86,therapist,NOUN,1,8.333333333333332
86,therapy,NOUN,1,8.333333333333332
87,alert,NOUN,1,12.5
87,nonverbal,ADJ,2,25.0
87,notification,NOUN,1,12.5
87,people,NOUN,1,12.5
87,user,NOUN,1,12.5
87,visible,ADJ,1,12.5
87,wearable,ADJ,1,12.5
88,bracelet,NOUN,1,11.11111111111111
88,call,NOUN,1,11.11111111111111
88,day,NOUN,1,11.11111111111111
88,feeling,NOUN,1,11.11111111111111
88,random,ADJ,1,11.11111111111111
88,time,NOUN,1,11.11111111111111
88,togetherness,NOUN,1,11.11111111111111
88,user,NOUN,1,11.11111111111111
88,videoaudio,ADJ,1,11.11111111111111
89,bottle,NOUN,1,14.285714285714285
89,certain,ADJ,1,14.285714285714285
89,day,NOUN,1,14.285714285714285
89,point,NOUN,1,14.285714285714285
89,user,NOUN,1,14.285714285714285
89,water,NOUN,2,28.57142857142857
90,jacketvest,NOUN,1,20.0
90,massage,NOUN,1,20.0
90,sensation,NOUN,1,20.0
90,vibrate,NOUN,1,20.0
90,wearable,ADJ,1,20.0
91,bracelet,NOUN,1,25.0
91,day,NOUN,1,25.0
91,emotion,NOUN,1,25.0
91,one,NOUN,1,25.0
92,device,NOUN,1,33.33333333333333
92,heartbeat,NOUN,1,33.33333333333333
92,scent,NOUN,1,33.33333333333333
93,bus,NOUN,1,14.285714285714285
93,capacity,NOUN,1,14.285714285714285
93,interactive,ADJ,1,14.285714285714285
93,occupant,NOUN,1,14.285714285714285
93,real,ADJ,1,14.285714285714285
93,screen,NOUN,1,14.285714285714285
93,time,NOUN,1,14.285714285714285
94,nausea,NOUN,1,33.33333333333333
94,scent,NOUN,1,33.33333333333333
94,spray,NOUN,1,33.33333333333333
95,chair,NOUN,1,33.33333333333333
95,stabilization,NOUN,1,33.33333333333333
95,table,NOUN,1,33.33333333333333
96,assistant,NOUN,1,25.0
96,collaborative,ADJ,1,25.0
96,communication,NOUN,1,25.0
96,voice,NOUN,1,25.0
97,bathroom,NOUN,1,100.0
98,arvr,NOUN,1,33.33333333333333
98,nausea,NOUN,1,33.33333333333333
98,workspace,NOUN,1,33.33333333333333
99,haptic,NOUN,1,25.0
99,nausea,NOUN,1,25.0
99,reduction,NOUN,1,25.0
99,wearable,ADJ,1,25.0
101,direction,NOUN,1,25.0
101,map,NOUN,1,25.0
101,necklace,NOUN,1,25.0
101,vibrate,NOUN,1,25.0
102,bracelet,NOUN,1,50.0
102,time,NOUN,1,50.0
103,child,NOUN,1,16.666666666666664
103,own,ADJ,1,16.666666666666664
103,pet,NOUN,1,16.666666666666664
103,pomodoro,ADJ,1,16.666666666666664
103,system,NOUN,1,16.666666666666664
103,tamogatchilike,ADJ,1,16.666666666666664
104,buttonsmotion,NOUN,1,14.285714285714285
104,dining,NOUN,1,14.285714285714285
104,hall,NOUN,1,14.285714285714285
104,many,ADJ,1,14.285714285714285
104,sensor,NOUN,1,14.285714285714285
104,table,NOUN,2,28.57142857142857
105,bag,NOUN,1,12.5
105,block,NOUN,1,12.5
105,leisure,NOUN,1,12.5
105,space,NOUN,2,25.0
105,website,NOUN,2,25.0
105,work,NOUN,1,12.5
106,face,NOUN,1,16.666666666666664
106,guard,NOUN,1,16.666666666666664
106,jaw,NOUN,1,16.666666666666664
106,mask,NOUN,1,16.666666666666664
106,people,NOUN,1,16.666666666666664
106,vibrate,NOUN,1,16.666666666666664
107,alert,NOUN,1,11.11111111111111
107,belonging,NOUN,1,11.11111111111111
107,bustrain,ADJ,1,11.11111111111111
107,datum,NOUN,1,11.11111111111111
107,min,NOUN,1,11.11111111111111
107,route,NOUN,1,11.11111111111111
107,stop,NOUN,1,11.11111111111111
107,wearable,ADJ,1,11.11111111111111
107,wearer,NOUN,1,11.11111111111111
108,earpieceearbud,NOUN,1,33.33333333333333
108,motion,NOUN,1,33.33333333333333
108,sickness,NOUN,1,33.33333333333333
109,charger,NOUN,1,25.0
109,phonelaptop,NOUN,1,25.0
109,use,NOUN,1,25.0
109,wireless,ADJ,1,25.0
110,bagjacket,NOUN,1,14.285714285714285
110,dnd,NOUN,1,14.285714285714285
110,phone,NOUN,2,28.57142857142857
110,pocket,NOUN,1,14.285714285714285
110,uniterrupted,ADJ,1,14.285714285714285
110,work,NOUN,1,14.285714285714285
111,brightness,NOUN,1,10.0
111,color,NOUN,1,10.0
111,disruption,NOUN,1,10.0
111,eyestrain,NOUN,1,10.0
111,laptop,NOUN,1,10.0
111,level,NOUN,1,10.0
111,light,ADJ,1,10.0
111,screen,NOUN,1,10.0
111,setting,NOUN,1,10.0
111,space,NOUN,1,10.0
112,loss,NOUN,1,50.0
112,sensor,NOUN,1,50.0
113,bracelet,NOUN,1,25.0
113,light,NOUN,1,25.0
113,strength,NOUN,1,25.0
113,wifi,NOUN,1,25.0
114,desk,NOUN,1,20.0
114,measure,NOUN,1,20.0
114,physical,ADJ,1,20.0
114,time,NOUN,1,20.0
114,track,NOUN,1,20.0
115,bag,NOUN,1,20.0
115,laptop,NOUN,1,20.0
115,signal,NOUN,1,20.0
115,smart,ADJ,1,20.0
115,wifi,NOUN,1,20.0
116,alone,ADJ,1,14.285714285714285
116,focus,NOUN,1,14.285714285714285
116,headphone,NOUN,1,14.285714285714285
116,level,NOUN,1,14.285714285714285
116,light,NOUN,1,14.285714285714285
116,noise,NOUN,1,14.285714285714285
116,red,NOUN,1,14.285714285714285
117,bag,NOUN,1,14.285714285714285
117,balance,NOUN,1,14.285714285714285
117,hour,NOUN,1,14.285714285714285
117,life,NOUN,1,14.285714285714285
117,many,ADJ,1,14.285714285714285
117,open,ADJ,1,14.285714285714285
117,work,NOUN,1,14.285714285714285
118,disruption,NOUN,1,14.285714285714285
118,lap,NOUN,1,14.285714285714285
118,pad,NOUN,1,14.285714285714285
118,shakey,ADJ,1,14.285714285714285
118,stabilizer,NOUN,1,14.285714285714285
118,table,NOUN,1,14.285714285714285
118,tray,NOUN,1,14.285714285714285
